Id da Organização,Deployment,API,Version,Data
00000000,API-Iniciação-de-Pagamentos-V3.0.0,payments,v3,07-10-2023
00000208,BRB-Auth-Server-1.0,payments,v3,03-10-2023
00315557,Open-Finance-v3.0.0-,payments,v3,17-10-2023
00360305,Caixa-Econômica-Federal,payments,v3,04-10-2023
00416968,Payments-PF-v3,payments,v3,05-10-2023
00416968,Payments-v3,payments,v3,05-10-2023
00517645,89c47d388ac4de7e4516a672f782e3467063afdf,payments,v3,04-10-2023
01027058,Payments-v3.0.0,payments,v3,10-10-2023
01073966,23.0.6,payments,v3,05-10-2023
02038232,Iniciação-de-Pagamentos-v3.0.0,payments,v3,03-10-2023
02318507,1.0.1,payments,v3,04-10-2023
03311443,V3-Payment-API,payments,v3,13-10-2023
03323840,Banco-Alfa-–-Open-Finance-Brazil-V3.0,payments,v3,10-10-2023
03816413,Pagueveloz-Lina-OPFI-payments-v3,payments,v3,03-10-2023
04632856,CREDISIS-API-Payments-v3.0.0,payments,v3,09-10-2023
04902979,BASA-APIv3,payments,v3,03-10-2023
05463212,API-de-Iniciação-de-Pagamentos-3.0.0,payments,v3,04-10-2023
07679404,Certificação-funcional-da-API-dA-Payments-V3,payments,v3,13-10-2023
08561701,PagBank-1.4.0,payments,v3,05-10-2023
09089356,PAYMENTS-V3,payments,v3,04-10-2023
10398952,Cresol-Pagamentos-V1.11.0,payments,v3,05-10-2023
11275560,RecargaPay-V1.0.0,payments,v3,05-10-2023
11476673,V3,payments,v3,11-10-2023
12345678,example,payments,v3,16-08-2023
13140088,Open-Bankly-3.0.0,payments,v3,05-10-2023
13884775,Payments-v3.0.0,payments,v3,04-10-2023
13935893,CELCOIN-INSTITUICAO-DE-PAGAMENTO-S.A.-OB-V3,payments,v3,04-10-2023
14388334,3.0.0,payments,v3,11-10-2023
15111975,iugu-Lina-OPBA-payments-v3,payments,v3,11-10-2023
16501555,open-finance-integration--v0.3.15,payments,v3,05-10-2023
17192451,Open-Banking-Brazil-Payments-v3.0,payments,v3,03-10-2023
18236120,nubank-payments-3.0,payments,v3,10-10-2023
20855875,Payments-Neon-V3,payments,v3,07-10-2023
20855875,Payments-V3,payments,v3,07-10-2023
21018182,-Ebanx-October-2023,payments,v3,11-10-2023
22896431,payments-v3,payments,v3,07-10-2023
27098060,Digio---Open-Banking---Fase-3---V3,payments,v3,04-10-2023
27098060,Digio-Uber---Open-Banking---Fase-3---V3,payments,v3,04-10-2023
27351731,Orbi-Bank-1.23.0-,payments,v3,04-10-2023
28127603,Open-Finance-Banestes-3.0,payments,v3,11-10-2023
28195667,v3.0.0,payments,v3,03-10-2023
30306294,BTG-Banking-Fase-3v3,payments,v3,11-10-2023
30306294,BTG-Empresas-Fase-3v3,payments,v3,11-10-2023
30723871,payments-v3,payments,v3,05-10-2023
30980539,Iniciador-SaaS-Detentora-v1.2.0,payments,v3,11-10-2023
31872495,Payments-API-–-Based-on-Swagger-version;-v3.0.0,payments,v3,10-10-2023
31880826,Deployment-3.0,payments,v3,11-10-2023
33172537,J.P.-Morgan-Open-Finance-V3.0,payments,v3,17-10-2023
33264668,BANCO-XP-S.A.-Open-Banking-2.0,payments,v3,11-10-2023
33923798,Payments-3.0.0,payments,v3,03-10-2023
34335592,ÓTIMO-SCD-OBB-V3,payments,v3,04-10-2023
36272465,Openbanking-Brasil-v3,payments,v3,11-10-2023
36586946,Crystal-OFB-v3.0.0,payments,v3,13-10-2023
37715993,ACCredito-Lina-OPFI-payments-v3,payments,v3,07-10-2023
43180355,-Open-Banking---Fase-3---V3,payments,v3,10-10-2023
45246410,Banco-Genial-–-GO!BaaS-2.0,payments,v3,10-10-2023
54403563,Banco-Arbi-Payments-v3.0.0,payments,v3,06-10-2023
58616418,3.0.0,payments,v3,11-10-2023
59285411,Banco-Pan-OpenFinance-V1.1,payments,v3,10-10-2023
59588111,V3.0.0-API-PAYMENTS,payments,v3,03-10-2023
60701190,Open-Banking-Brazil-v3.0.0,payments,v3,03-10-2023
60746948,5.1.9,payments,v3,06-10-2023
61024352,Plataforma-Tecban-API-Payments-V3.0.0,payments,v3,07-10-2023
61186680,Payments-–-Pix---v3,payments,v3,13-10-2023
62109566,Credisan-Payments-3.0-v1,payments,v3,11-10-2023
62232889,Banco-Daycoval---Open-Banking-Brazil-V3.0,payments,v3,11-10-2023
71027866,Open-Finance-Banco-Bs2--API-TimeZone,payments,v3,06-10-2023
76461557,23.0.6,payments,v3,03-10-2023
78157146,CM-Credialianca-Pagamentos-3.0.0,payments,v3,13-10-2023
78632767,Api-payments-3.0,payments,v3,17-10-2023
81723108,CREDICOAMO-API-Payments-v3.0.0,payments,v3,04-10-2023
90400888,Pagamentos---v3.0.0,payments,v3,06-10-2023
92702067,Banrisul-Open-Finance-v3.0.0-Pagamentos-,payments,v3,07-10-2023
